url,primary_entity,primary_intent,cluster_id,priority,indexable,status
/kien-thuc/1gbps-bao-nhieu-thiet-bi/,1 Gbps dùng được bao nhiêu thiết bị?,INFORMATIONAL,SUPPORT,P2,YES,OWNER
/kien-thuc/ftth-la-gi/,FTTH là gì?,INFORMATIONAL,SUPPORT,P2,YES,OWNER
/kien-thuc/xgs-pon-la-gi/,XGS-PON là gì?,INFORMATIONAL,SUPPORT,P2,YES,OWNER
/giai-phap/,Giải pháp Internet FPT,COMMERCIAL,USE_CASE,P1,YES,OWNER
/so-sanh/,So sánh Internet FPT,COMPARISON,COMPARE,P1,YES,OWNER
/ho-tro/,Hỗ trợ Internet FPT,SUPPORT,SUPPORT,P1,YES,OWNER
/kien-thuc/,Kiến thức Internet FPT,INFORMATIONAL,KNOWLEDGE,P2,YES,OWNER
/khu-vuc/,Lắp mạng FPT theo khu vực,LOCAL_TRANSACTIONAL,LOCAL,P1,YES,OWNER
/lap-mang-fpt/,Lắp mạng FPT,TRANSACTIONAL,INSTALL,P0,YES,OWNER_EXISTING
/internet-fpt/,Internet FPT,COMMERCIAL,INTERNET,P0,YES,OWNER_EXISTING
/wifi-fpt/,WiFi FPT,COMMERCIAL,WIFI,P0,YES,OWNER_EXISTING
/cap-quang-fpt/,Cáp quang FPT,INFORMATIONAL,FTTH,P0,YES,OWNER_EXISTING
/wifi-7/,WiFi 7 FPT,COMMERCIAL,WIFI7,P1,YES,OWNER_EXISTING
/camera-fpt/,Camera FPT,COMMERCIAL,CAMERA,P1,YES,OWNER_EXISTING
/fpt-play/,FPT Play,COMMERCIAL,PLAY,P1,YES,OWNER_EXISTING
/tin-tuc/,Tin tức FPT,INFORMATIONAL,NEWS,P1,YES,OWNER_EXISTING
/lien-he/,Liên hệ FPT,TRANSACTIONAL,CONTACT,P1,YES,OWNER_EXISTING
/goi-cuoc/giga/,GIGA FPT,COMMERCIAL,PACKAGES,P1,YES,OWNER_EXISTING
/goi-cuoc/sky/,SKY FPT,COMMERCIAL,PACKAGES,P1,YES,OWNER_EXISTING
/goi-cuoc/meta/,META FPT,COMMERCIAL,PACKAGES,P1,YES,OWNER_EXISTING
