question,intent,cluster_id,target_url,answer_strategy,observed_at
wifi fpt cho nhà nhiều tầng có tốt không?,COMMERCIAL,USE_MULTIFLOOR,/giai-phap/nha-nhieu-tang/,ANSWER_ON_OWNER,2026-08-15
wifi fpt cho nhà nhiều tầng khác gì lựa chọn khác?,COMMERCIAL,USE_MULTIFLOOR,/giai-phap/nha-nhieu-tang/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn wifi fpt cho nhà nhiều tầng?,COMMERCIAL,USE_MULTIFLOOR,/giai-phap/nha-nhieu-tang/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho chung cư phù hợp với ai?,COMMERCIAL,USE_APARTMENT,/giai-phap/chung-cu/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho chung cư có tốt không?,COMMERCIAL,USE_APARTMENT,/giai-phap/chung-cu/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho chung cư khác gì lựa chọn khác?,COMMERCIAL,USE_APARTMENT,/giai-phap/chung-cu/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho chung cư?,COMMERCIAL,USE_APARTMENT,/giai-phap/chung-cu/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho game thủ phù hợp với ai?,COMMERCIAL,USE_GAME,/giai-phap/game-thu/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho game thủ có tốt không?,COMMERCIAL,USE_GAME,/giai-phap/game-thu/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho game thủ khác gì lựa chọn khác?,COMMERCIAL,USE_GAME,/giai-phap/game-thu/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho game thủ?,COMMERCIAL,USE_GAME,/giai-phap/game-thu/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho livestream phù hợp với ai?,COMMERCIAL,USE_STREAM,/giai-phap/livestream/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho livestream có tốt không?,COMMERCIAL,USE_STREAM,/giai-phap/livestream/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho livestream khác gì lựa chọn khác?,COMMERCIAL,USE_STREAM,/giai-phap/livestream/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho livestream?,COMMERCIAL,USE_STREAM,/giai-phap/livestream/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho camera phù hợp với ai?,COMMERCIAL,USE_CAMERA,/giai-phap/camera/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho camera có tốt không?,COMMERCIAL,USE_CAMERA,/giai-phap/camera/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho camera khác gì lựa chọn khác?,COMMERCIAL,USE_CAMERA,/giai-phap/camera/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho camera?,COMMERCIAL,USE_CAMERA,/giai-phap/camera/,ANSWER_ON_OWNER,2026-08-15
internet fpt cho smart home phù hợp với ai?,COMMERCIAL,USE_SMARTHOME,/giai-phap/smart-home/,ANSWER_ON_OWNER,2026-08-15
internet fpt cho smart home có tốt không?,COMMERCIAL,USE_SMARTHOME,/giai-phap/smart-home/,ANSWER_ON_OWNER,2026-08-15
internet fpt cho smart home khác gì lựa chọn khác?,COMMERCIAL,USE_SMARTHOME,/giai-phap/smart-home/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn internet fpt cho smart home?,COMMERCIAL,USE_SMARTHOME,/giai-phap/smart-home/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho văn phòng phù hợp với ai?,COMMERCIAL,USE_OFFICE,/giai-phap/van-phong/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho văn phòng có tốt không?,COMMERCIAL,USE_OFFICE,/giai-phap/van-phong/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho văn phòng khác gì lựa chọn khác?,COMMERCIAL,USE_OFFICE,/giai-phap/van-phong/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho văn phòng?,COMMERCIAL,USE_OFFICE,/giai-phap/van-phong/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho doanh nghiệp nhỏ phù hợp với ai?,COMMERCIAL,USE_SME,/giai-phap/doanh-nghiep-nho/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho doanh nghiệp nhỏ có tốt không?,COMMERCIAL,USE_SME,/giai-phap/doanh-nghiep-nho/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho doanh nghiệp nhỏ khác gì lựa chọn khác?,COMMERCIAL,USE_SME,/giai-phap/doanh-nghiep-nho/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho doanh nghiệp nhỏ?,COMMERCIAL,USE_SME,/giai-phap/doanh-nghiep-nho/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho quán cafe phù hợp với ai?,COMMERCIAL,USE_CAFE,/giai-phap/quan-cafe/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho quán cafe có tốt không?,COMMERCIAL,USE_CAFE,/giai-phap/quan-cafe/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho quán cafe khác gì lựa chọn khác?,COMMERCIAL,USE_CAFE,/giai-phap/quan-cafe/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho quán cafe?,COMMERCIAL,USE_CAFE,/giai-phap/quan-cafe/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho homestay phù hợp với ai?,COMMERCIAL,USE_HOMESTAY,/giai-phap/homestay/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho homestay có tốt không?,COMMERCIAL,USE_HOMESTAY,/giai-phap/homestay/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho homestay khác gì lựa chọn khác?,COMMERCIAL,USE_HOMESTAY,/giai-phap/homestay/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho homestay?,COMMERCIAL,USE_HOMESTAY,/giai-phap/homestay/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho cửa hàng phù hợp với ai?,COMMERCIAL,USE_RETAIL,/giai-phap/cua-hang/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho cửa hàng có tốt không?,COMMERCIAL,USE_RETAIL,/giai-phap/cua-hang/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho cửa hàng khác gì lựa chọn khác?,COMMERCIAL,USE_RETAIL,/giai-phap/cua-hang/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho cửa hàng?,COMMERCIAL,USE_RETAIL,/giai-phap/cua-hang/,ANSWER_ON_OWNER,2026-08-15
fpt vs viettel khác nhau ở điểm nào?,COMPARISON,COMPARE,/so-sanh/fpt-vs-viettel/,ANSWER_ON_OWNER,2026-08-15
nên chọn fpt vs viettel trong trường hợp nào?,COMPARISON,COMPARE,/so-sanh/fpt-vs-viettel/,ANSWER_ON_OWNER,2026-08-15
fpt vs viettel cái nào phù hợp gia đình hơn?,COMPARISON,COMPARE,/so-sanh/fpt-vs-viettel/,ANSWER_ON_OWNER,2026-08-15
fpt vs vnpt khác nhau ở điểm nào?,COMPARISON,COMPARE,/so-sanh/fpt-vs-vnpt/,ANSWER_ON_OWNER,2026-08-15
nên chọn fpt vs vnpt trong trường hợp nào?,COMPARISON,COMPARE,/so-sanh/fpt-vs-vnpt/,ANSWER_ON_OWNER,2026-08-15
fpt vs vnpt cái nào phù hợp gia đình hơn?,COMPARISON,COMPARE,/so-sanh/fpt-vs-vnpt/,ANSWER_ON_OWNER,2026-08-15
wifi 6 vs wifi 7 khác nhau ở điểm nào?,COMPARISON,COMPARE,/so-sanh/wifi-6-vs-wifi-7/,ANSWER_ON_OWNER,2026-08-15
nên chọn wifi 6 vs wifi 7 trong trường hợp nào?,COMPARISON,COMPARE,/so-sanh/wifi-6-vs-wifi-7/,ANSWER_ON_OWNER,2026-08-15
wifi 6 vs wifi 7 cái nào phù hợp gia đình hơn?,COMPARISON,COMPARE,/so-sanh/wifi-6-vs-wifi-7/,ANSWER_ON_OWNER,2026-08-15
giga vs sky fpt khác nhau ở điểm nào?,COMPARISON,COMPARE,/so-sanh/giga-vs-sky/,ANSWER_ON_OWNER,2026-08-15
nên chọn giga vs sky fpt trong trường hợp nào?,COMPARISON,COMPARE,/so-sanh/giga-vs-sky/,ANSWER_ON_OWNER,2026-08-15
giga vs sky fpt cái nào phù hợp gia đình hơn?,COMPARISON,COMPARE,/so-sanh/giga-vs-sky/,ANSWER_ON_OWNER,2026-08-15
sky vs meta fpt khác nhau ở điểm nào?,COMPARISON,COMPARE,/so-sanh/sky-vs-meta/,ANSWER_ON_OWNER,2026-08-15
nên chọn sky vs meta fpt trong trường hợp nào?,COMPARISON,COMPARE,/so-sanh/sky-vs-meta/,ANSWER_ON_OWNER,2026-08-15
sky vs meta fpt cái nào phù hợp gia đình hơn?,COMPARISON,COMPARE,/so-sanh/sky-vs-meta/,ANSWER_ON_OWNER,2026-08-15
f-game vs meta fpt khác nhau ở điểm nào?,COMPARISON,COMPARE,/so-sanh/f-game-vs-meta/,ANSWER_ON_OWNER,2026-08-15
nên chọn f-game vs meta fpt trong trường hợp nào?,COMPARISON,COMPARE,/so-sanh/f-game-vs-meta/,ANSWER_ON_OWNER,2026-08-15
f-game vs meta fpt cái nào phù hợp gia đình hơn?,COMPARISON,COMPARE,/so-sanh/f-game-vs-meta/,ANSWER_ON_OWNER,2026-08-15
lắp mạng fpt mất bao lâu? là gì?,INFORMATIONAL,SUPPORT,/ho-tro/lap-mang-fpt-mat-bao-lau/,ANSWER_ON_OWNER,2026-08-15
lắp mạng fpt mất bao lâu? hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/lap-mang-fpt-mat-bao-lau/,ANSWER_ON_OWNER,2026-08-15
lắp mạng fpt mất bao lâu? có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/lap-mang-fpt-mat-bao-lau/,ANSWER_ON_OWNER,2026-08-15
khi nào cần lắp mạng fpt mất bao lâu??,INFORMATIONAL,SUPPORT,/ho-tro/lap-mang-fpt-mat-bao-lau/,ANSWER_ON_OWNER,2026-08-15
phí lắp đặt fpt là gì?,INFORMATIONAL,SUPPORT,/ho-tro/phi-lap-dat-fpt/,ANSWER_ON_OWNER,2026-08-15
phí lắp đặt fpt hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/phi-lap-dat-fpt/,ANSWER_ON_OWNER,2026-08-15
phí lắp đặt fpt có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/phi-lap-dat-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần phí lắp đặt fpt?,INFORMATIONAL,SUPPORT,/ho-tro/phi-lap-dat-fpt/,ANSWER_ON_OWNER,2026-08-15
đổi mật khẩu wifi fpt là gì?,INFORMATIONAL,SUPPORT,/ho-tro/doi-mat-khau-wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
đổi mật khẩu wifi fpt hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/doi-mat-khau-wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
đổi mật khẩu wifi fpt có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/doi-mat-khau-wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần đổi mật khẩu wifi fpt?,INFORMATIONAL,SUPPORT,/ho-tro/doi-mat-khau-wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
wifi fpt yếu là gì?,INFORMATIONAL,SUPPORT,/ho-tro/wifi-fpt-yeu/,ANSWER_ON_OWNER,2026-08-15
wifi fpt yếu hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/wifi-fpt-yeu/,ANSWER_ON_OWNER,2026-08-15
wifi fpt yếu có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/wifi-fpt-yeu/,ANSWER_ON_OWNER,2026-08-15
khi nào cần wifi fpt yếu?,INFORMATIONAL,SUPPORT,/ho-tro/wifi-fpt-yeu/,ANSWER_ON_OWNER,2026-08-15
mạng fpt chậm là gì?,INFORMATIONAL,SUPPORT,/ho-tro/mang-fpt-cham/,ANSWER_ON_OWNER,2026-08-15
mạng fpt chậm hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/mang-fpt-cham/,ANSWER_ON_OWNER,2026-08-15
mạng fpt chậm có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/mang-fpt-cham/,ANSWER_ON_OWNER,2026-08-15
khi nào cần mạng fpt chậm?,INFORMATIONAL,SUPPORT,/ho-tro/mang-fpt-cham/,ANSWER_ON_OWNER,2026-08-15
mất mạng fpt là gì?,INFORMATIONAL,SUPPORT,/ho-tro/mat-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
mất mạng fpt hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/mat-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
mất mạng fpt có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/mat-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần mất mạng fpt?,INFORMATIONAL,SUPPORT,/ho-tro/mat-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
chuyển địa điểm fpt là gì?,INFORMATIONAL,SUPPORT,/ho-tro/chuyen-dia-diem-fpt/,ANSWER_ON_OWNER,2026-08-15
chuyển địa điểm fpt hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/chuyen-dia-diem-fpt/,ANSWER_ON_OWNER,2026-08-15
chuyển địa điểm fpt có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/chuyen-dia-diem-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần chuyển địa điểm fpt?,INFORMATIONAL,SUPPORT,/ho-tro/chuyen-dia-diem-fpt/,ANSWER_ON_OWNER,2026-08-15
nâng cấp gói fpt là gì?,INFORMATIONAL,SUPPORT,/ho-tro/nang-cap-goi-fpt/,ANSWER_ON_OWNER,2026-08-15
nâng cấp gói fpt hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/nang-cap-goi-fpt/,ANSWER_ON_OWNER,2026-08-15
nâng cấp gói fpt có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/nang-cap-goi-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần nâng cấp gói fpt?,INFORMATIONAL,SUPPORT,/ho-tro/nang-cap-goi-fpt/,ANSWER_ON_OWNER,2026-08-15
hủy dịch vụ fpt là gì?,INFORMATIONAL,SUPPORT,/ho-tro/huy-goi-fpt/,ANSWER_ON_OWNER,2026-08-15
hủy dịch vụ fpt hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/huy-goi-fpt/,ANSWER_ON_OWNER,2026-08-15
hủy dịch vụ fpt có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/huy-goi-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần hủy dịch vụ fpt?,INFORMATIONAL,SUPPORT,/ho-tro/huy-goi-fpt/,ANSWER_ON_OWNER,2026-08-15
kiểm tra tốc độ mạng fpt là gì?,INFORMATIONAL,SUPPORT,/ho-tro/kiem-tra-toc-do-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
kiểm tra tốc độ mạng fpt hoạt động thế nào?,INFORMATIONAL,SUPPORT,/ho-tro/kiem-tra-toc-do-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
kiểm tra tốc độ mạng fpt có ưu nhược điểm gì?,INFORMATIONAL,SUPPORT,/ho-tro/kiem-tra-toc-do-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần kiểm tra tốc độ mạng fpt?,INFORMATIONAL,SUPPORT,/ho-tro/kiem-tra-toc-do-mang-fpt/,ANSWER_ON_OWNER,2026-08-15
