keyword,normalized_query,primary_intent,cluster_id,target_url,priority_tier,search_volume,kd,cpc,source_ref,observed_at,status
combo fpt đăng ký,combo fpt đăng ký,COMMERCIAL,COMBO,/combo-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
combo fpt tư vấn,combo fpt tư vấn,COMMERCIAL,COMBO,/combo-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
combo fpt mới nhất,combo fpt mới nhất,COMMERCIAL,COMBO,/combo-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
internet truyền hình fpt,internet truyền hình fpt,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
combo internet truyền hình fpt,combo internet truyền hình fpt,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
internet + truyền hình fpt giá,internet + truyền hình fpt giá,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
internet + truyền hình fpt đăng ký,internet + truyền hình fpt đăng ký,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
internet + truyền hình fpt tư vấn,internet + truyền hình fpt tư vấn,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
internet + truyền hình fpt mới nhất,internet + truyền hình fpt mới nhất,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
f-game fpt,f-game fpt,COMMERCIAL,GAMING,/f-game-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VERIFIED_INTENT
mạng fpt chơi game,mạng fpt chơi game,COMMERCIAL,GAMING,/f-game-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VERIFIED_INTENT
internet game thủ fpt,internet game thủ fpt,COMMERCIAL,GAMING,/f-game-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VERIFIED_INTENT
f-game fpt giá,f-game fpt giá,COMMERCIAL,GAMING,/f-game-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VARIANT_MAPPED
f-game fpt đăng ký,f-game fpt đăng ký,COMMERCIAL,GAMING,/f-game-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VARIANT_MAPPED
f-game fpt tư vấn,f-game fpt tư vấn,COMMERCIAL,GAMING,/f-game-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VARIANT_MAPPED
f-game fpt mới nhất,f-game fpt mới nhất,COMMERCIAL,GAMING,/f-game-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VARIANT_MAPPED
mesh wifi fpt,mesh wifi fpt,COMMERCIAL,WIFI,/mesh-wifi-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
wifi fpt nhà nhiều tầng,wifi fpt nhà nhiều tầng,COMMERCIAL,WIFI,/mesh-wifi-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
bộ phát wifi fpt,bộ phát wifi fpt,COMMERCIAL,WIFI,/mesh-wifi-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
mesh wifi fpt giá,mesh wifi fpt giá,COMMERCIAL,WIFI,/mesh-wifi-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
mesh wifi fpt đăng ký,mesh wifi fpt đăng ký,COMMERCIAL,WIFI,/mesh-wifi-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
mesh wifi fpt tư vấn,mesh wifi fpt tư vấn,COMMERCIAL,WIFI,/mesh-wifi-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
mesh wifi fpt mới nhất,mesh wifi fpt mới nhất,COMMERCIAL,WIFI,/mesh-wifi-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
wifi 6 fpt,wifi 6 fpt,INFORMATIONAL,WIFI,/wifi-6-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
modem wifi 6 fpt,modem wifi 6 fpt,INFORMATIONAL,WIFI,/wifi-6-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
xgs-pon fpt,xgs-pon fpt,INFORMATIONAL,WIFI7,/xgs-pon-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VERIFIED_INTENT
xgspon fpt,xgspon fpt,INFORMATIONAL,WIFI7,/xgs-pon-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VERIFIED_INTENT
wifi 7 xgspon,wifi 7 xgspon,INFORMATIONAL,WIFI7,/xgs-pon-fpt/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VERIFIED_INTENT
speedx fpt,speedx fpt,COMMERCIAL,WIFI7,/speedx-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VERIFIED_INTENT
speedx2 fpt,speedx2 fpt,COMMERCIAL,WIFI7,/speedx-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VERIFIED_INTENT
speedx10 fpt,speedx10 fpt,COMMERCIAL,WIFI7,/speedx-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VERIFIED_INTENT
speedx fpt giá,speedx fpt giá,COMMERCIAL,WIFI7,/speedx-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx fpt đăng ký,speedx fpt đăng ký,COMMERCIAL,WIFI7,/speedx-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx fpt tư vấn,speedx fpt tư vấn,COMMERCIAL,WIFI7,/speedx-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx fpt mới nhất,speedx fpt mới nhất,COMMERCIAL,WIFI7,/speedx-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
gói f-game fpt,gói f-game fpt,COMMERCIAL,PACKAGES,/goi-cuoc/f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VERIFIED_INTENT
gói f-game fpt giá,gói f-game fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc/f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VARIANT_MAPPED
gói f-game fpt đăng ký,gói f-game fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc/f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VARIANT_MAPPED
gói f-game fpt tư vấn,gói f-game fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc/f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VARIANT_MAPPED
gói f-game fpt mới nhất,gói f-game fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc/f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/internet/game-thu,2026-08-15,VARIANT_MAPPED
combo giga fpt,combo giga fpt,COMMERCIAL,PACKAGES,/goi-cuoc/combo-giga/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VERIFIED_INTENT
combo giga fpt giá,combo giga fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc/combo-giga/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo giga fpt đăng ký,combo giga fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc/combo-giga/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo giga fpt tư vấn,combo giga fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc/combo-giga/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo giga fpt mới nhất,combo giga fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc/combo-giga/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo sky fpt,combo sky fpt,COMMERCIAL,PACKAGES,/goi-cuoc/combo-sky/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VERIFIED_INTENT
combo sky fpt giá,combo sky fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc/combo-sky/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo sky fpt đăng ký,combo sky fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc/combo-sky/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo sky fpt tư vấn,combo sky fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc/combo-sky/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo sky fpt mới nhất,combo sky fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc/combo-sky/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo meta fpt,combo meta fpt,COMMERCIAL,PACKAGES,/goi-cuoc/combo-meta/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VERIFIED_INTENT
combo meta fpt giá,combo meta fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc/combo-meta/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo meta fpt đăng ký,combo meta fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc/combo-meta/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo meta fpt tư vấn,combo meta fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc/combo-meta/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo meta fpt mới nhất,combo meta fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc/combo-meta/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo f-game fpt,combo f-game fpt,COMMERCIAL,PACKAGES,/goi-cuoc/combo-f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VERIFIED_INTENT
combo f-game fpt giá,combo f-game fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc/combo-f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo f-game fpt đăng ký,combo f-game fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc/combo-f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo f-game fpt tư vấn,combo f-game fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc/combo-f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
combo f-game fpt mới nhất,combo f-game fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc/combo-f-game/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/uu-dai-internet/,2026-08-15,VARIANT_MAPPED
speedx2 fpt,speedx2 fpt,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VERIFIED_INTENT
speedx2 fpt giá,speedx2 fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx2 fpt đăng ký,speedx2 fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx2 fpt tư vấn,speedx2 fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx2 fpt mới nhất,speedx2 fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx2 pro fpt,speedx2 pro fpt,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VERIFIED_INTENT
speedx2 pro fpt giá,speedx2 pro fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VARIANT_MAPPED
speedx2 pro fpt đăng ký,speedx2 pro fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VARIANT_MAPPED
speedx2 pro fpt tư vấn,speedx2 pro fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VARIANT_MAPPED
speedx2 pro fpt mới nhất,speedx2 pro fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VARIANT_MAPPED
speedx10 fpt,speedx10 fpt,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VERIFIED_INTENT
speedx10 fpt giá,speedx10 fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx10 fpt đăng ký,speedx10 fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx10 fpt tư vấn,speedx10 fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx10 fpt mới nhất,speedx10 fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/dang-ky-nang-cap-wifi7,2026-08-15,VARIANT_MAPPED
speedx10 pro fpt,speedx10 pro fpt,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VERIFIED_INTENT
speedx10 pro fpt giá,speedx10 pro fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VARIANT_MAPPED
speedx10 pro fpt đăng ký,speedx10 pro fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VARIANT_MAPPED
speedx10 pro fpt tư vấn,speedx10 pro fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VARIANT_MAPPED
speedx10 pro fpt mới nhất,speedx10 pro fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10-pro/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/lap-internet-wifi-hcm,2026-08-15,VARIANT_MAPPED
camera play 3 fpt,camera play 3 fpt,COMMERCIAL,CAMERA,/camera-fpt/play-3/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://www.fpt.vn/camera/camera-play-3/,2026-08-15,VERIFIED_INTENT
camera play 3 fpt giá,camera play 3 fpt giá,COMMERCIAL,CAMERA,/camera-fpt/play-3/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://www.fpt.vn/camera/camera-play-3/,2026-08-15,VARIANT_MAPPED
camera play 3 fpt đăng ký,camera play 3 fpt đăng ký,COMMERCIAL,CAMERA,/camera-fpt/play-3/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://www.fpt.vn/camera/camera-play-3/,2026-08-15,VARIANT_MAPPED
camera play 3 fpt tư vấn,camera play 3 fpt tư vấn,COMMERCIAL,CAMERA,/camera-fpt/play-3/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://www.fpt.vn/camera/camera-play-3/,2026-08-15,VARIANT_MAPPED
camera play 3 fpt mới nhất,camera play 3 fpt mới nhất,COMMERCIAL,CAMERA,/camera-fpt/play-3/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://www.fpt.vn/camera/camera-play-3/,2026-08-15,VARIANT_MAPPED
camera play 4 fpt,camera play 4 fpt,COMMERCIAL,CAMERA,/camera-fpt/play-4/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/camera/camera-play-4,2026-08-15,VERIFIED_INTENT
camera play 4 fpt giá,camera play 4 fpt giá,COMMERCIAL,CAMERA,/camera-fpt/play-4/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/camera/camera-play-4,2026-08-15,VARIANT_MAPPED
camera play 4 fpt đăng ký,camera play 4 fpt đăng ký,COMMERCIAL,CAMERA,/camera-fpt/play-4/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/camera/camera-play-4,2026-08-15,VARIANT_MAPPED
camera play 4 fpt tư vấn,camera play 4 fpt tư vấn,COMMERCIAL,CAMERA,/camera-fpt/play-4/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/camera/camera-play-4,2026-08-15,VARIANT_MAPPED
camera play 4 fpt mới nhất,camera play 4 fpt mới nhất,COMMERCIAL,CAMERA,/camera-fpt/play-4/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/camera/camera-play-4,2026-08-15,VARIANT_MAPPED
mạng fpt cho gia đình,mạng fpt cho gia đình,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
wifi fpt gia đình,wifi fpt gia đình,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
mạng fpt cho gia đình giá,mạng fpt cho gia đình giá,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
mạng fpt cho gia đình đăng ký,mạng fpt cho gia đình đăng ký,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
mạng fpt cho gia đình tư vấn,mạng fpt cho gia đình tư vấn,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
mạng fpt cho gia đình mới nhất,mạng fpt cho gia đình mới nhất,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
wifi fpt nhà nhiều tầng,wifi fpt nhà nhiều tầng,COMMERCIAL,USE_MULTIFLOOR,/giai-phap/nha-nhieu-tang/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
mạng fpt nhà 3 tầng,mạng fpt nhà 3 tầng,COMMERCIAL,USE_MULTIFLOOR,/giai-phap/nha-nhieu-tang/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
wifi fpt cho nhà nhiều tầng giá,wifi fpt cho nhà nhiều tầng giá,COMMERCIAL,USE_MULTIFLOOR,/giai-phap/nha-nhieu-tang/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
wifi fpt cho nhà nhiều tầng đăng ký,wifi fpt cho nhà nhiều tầng đăng ký,COMMERCIAL,USE_MULTIFLOOR,/giai-phap/nha-nhieu-tang/,P1,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
